gemm_mq4g256v2_residual_mmq_iu4_full_set_symfold	368	1084.852
gemm_mq4g256v2_residual_mmq_iu4_full_add_symfold	128	518.040
attention_fp8_e4m3_fa2_gqa_qresident_gfx1201	16	165.325
fused_silu_mul_mq_rotate_awq_i4_gfx12	64	135.861
gdn_chunk_scan	768	75.141
fused_rmsnorm_mq_rotate_awq_i4_gfx12	128	59.368
gated_norm_mq_rotate_awq_i4_gfx12	48	46.953
gdn_chunk_prep	48	43.278
deinterleave_q_rmsnorm_f32_batched	16	22.461
gdn_chunk_kkt_solve	768	17.198
sigmoid_mul_rotate_x_mq_awq_i4_gfx12	16	11.843
fused_gate_up_mq4g256v2	64	10.041
gemv_mq4g256v2_residual	128	7.294
rope_partial_halfsplit_batched_f32	16	6.131
rmsnorm_f32	50	3.728
fused_qkvza_mq4g256v2	48	3.697
kv_cache_write_fp8_e4m3_batched	32	2.358
gemv_mq4g256v2_multirow_r2	2	2.145
attention_flash_fp8_e4m3_tile	16	1.175
fused_qkv_mq4g256v2	16	1.164
embedding_q8_batched	1	0.853
fused_rmsnorm_mq_rotate_awq	128	0.832
__amd_rocclr_fillBufferUnAligned	192	0.825
__amd_rocclr_copyBuffer	197	0.659
gated_delta_net_q8_fast	48	0.372
attention_flash_q8_0_reduce	16	0.332
fused_silu_mul_mq_rotate_awq	64	0.126
gated_norm_f32	48	0.122
rope_partial_halfsplit_f32	16	0.108
rotate_x_mq_awq	64	0.093
conv1d_silu_split_qknorm_b256	48	0.092
fused_sigmoid_alpha_gate_f32	48	0.084
repeat_interleave_qk_f32	48	0.068
kv_cache_write_fp8_e4m3	32	0.054
sample_topk_partial_fast21	2	0.054
sample_topk_finalize_fast21	2	0.034
deinterleave_f32	16	0.027
sigmoid_mul_f32	16	0.017
embedding_q8	1	0.007
mq_rotate_x	2	0.004
